MoMo更新,#genre#
2026-01-16 11:00:03,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8

上海电信,#genre#
安徽卫视SD,http://116.235.57.81:4022/rtp/233.18.204.127:5140
山西卫视SD,http://116.235.57.81:4022/rtp/233.18.204.132:5140
江西卫视SD,http://116.235.57.81:4022/rtp/233.18.204.130:5140
湖北卫视SD,http://116.235.57.81:4022/rtp/233.18.204.142:5140
陕西卫视SD,http://116.235.57.81:4022/rtp/233.18.204.135:5140
东南卫视SD,http://116.235.57.81:4022/rtp/233.18.204.128:5140
吉林卫视SD,http://116.235.57.81:4022/rtp/233.18.204.131:5140
辽宁卫视SD,http://116.235.57.81:4022/rtp/233.18.204.126:5140
内蒙古卫视SD,http://116.235.57.81:4022/rtp/233.18.204.141:5140
湖南卫视SD,http://116.235.57.81:4022/rtp/233.18.204.119:5140
广东卫视SD,http://116.235.57.81:4022/rtp/233.18.204.138:5140
河南卫视SD,http://116.235.57.81:4022/rtp/233.18.204.145:5140
河北卫视SD,http://116.235.57.81:4022/rtp/233.18.204.140:5140
宁夏卫视SD,http://116.235.57.81:4022/rtp/233.18.204.117:5140
甘肃卫视SD,http://116.235.57.81:4022/rtp/233.18.204.137:5140
青海卫视SD,http://116.235.57.81:4022/rtp/233.18.204.133:5140
新疆卫视SD,http://116.235.57.81:4022/rtp/233.18.204.147:5140
西藏卫视SD,http://116.235.57.81:4022/rtp/233.18.204.134:5140
兵团卫视SD,http://116.235.57.81:4022/rtp/233.18.204.148:5140
三沙卫视SD,http://116.235.57.81:4022/rtp/233.18.204.149:5140
第一财经SD,http://116.235.57.81:4022/rtp/233.18.204.5:5140

云南电信,#genre#
云南卫视,http://106.59.2.106:55555/rtp/239.200.200.145:8840
CCTV-1综合,http://106.59.2.106:55555/udp/239.200.201.135:8880
CCTV-1综合,http://106.59.2.106:55555/udp/239.200.200.70:8008
CCTV-1综合,http://106.59.2.106:55555/udp/239.200.200.95:8044
CCTV-1综合,http://106.59.2.106:55555/rtp/239.200.200.2:8080
CCTV-1综合,http://106.59.2.106:55555/rtp/239.200.200.14:8852
CCTV-1综合,h
